,title,publisher,release_date,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Released on PS2
126,Super Mario World,Nintendo,1991-08-13,SNES,Platform,12.78,3.75,3.54,0.55,20.61,False
127,Super Mario World,Nintendo,1991-08-13,GBA,Platform,3.21,1.11,0.95,0.2,5.46,False
136,Dying Light,Warner Bros. Interactive Entertainment,2015-01-27,PS4,Action,0.63,0.66,0.11,0.26,1.66,False
137,Dying Light,Warner Bros. Interactive Entertainment,2015-01-27,XOne,Action,0.43,0.3,0.01,0.07,0.81,False
138,Dying Light,Warner Bros. Interactive Entertainment,2015-01-27,PC,Action,0.11,0.06,0.0,0.02,0.18,False
139,Fallout 4,Bethesda Softworks,2015-11-10,PS4,Role-Playing,2.47,3.15,0.24,1.1,6.96,False
140,Fallout 4,Bethesda Softworks,2015-11-10,XOne,Role-Playing,2.45,1.26,0.01,0.37,4.09,False
141,Fallout 4,Bethesda Softworks,2015-11-10,PC,Role-Playing,0.5,0.63,0.0,0.1,1.23,False
143,Frogger,Konami,1981-10-23,PS,Action,3.79,0.27,0.0,0.11,4.16,False
144,Frogger,Konami,1981-10-23,2600,Action,2.06,0.12,0.0,0.02,2.2,False
145,Call of Duty: Black Ops,Activision,2010-11-09,X360,Shooter,9.67,3.73,0.11,1.13,14.64,False
146,Call of Duty: Black Ops,Activision,2010-11-09,PS3,Shooter,5.98,4.44,0.48,1.83,12.73,False
147,Call of Duty: Black Ops,Activision,2010-11-09,PC,Shooter,0.58,0.81,0.0,0.24,1.63,False
148,Call of Duty: Black Ops,Activision,2010-11-09,Wii,Shooter,0.82,0.47,0.0,0.12,1.4,False
149,Call of Duty: Black Ops,Activision,2010-11-09,DS,Shooter,0.54,0.05,0.0,0.04,0.63,False
151,Grand Theft Auto V,Rockstar Games,2015-04-14,PS3,Action,7.01,9.27,0.97,4.14,21.4,False
152,Grand Theft Auto V,Rockstar Games,2015-04-14,X360,Action,9.63,5.31,0.06,1.38,16.38,False
153,Grand Theft Auto V,Rockstar Games,2015-04-14,PS4,Action,3.8,5.81,0.36,2.02,11.98,False
154,Grand Theft Auto V,Rockstar Games,2015-04-14,XOne,Action,2.66,2.01,0.0,0.41,5.08,False
155,Grand Theft Auto V,Rockstar Games,2015-04-14,PC,Action,0.36,0.64,0.0,0.08,1.08,False
156,Fable,Microsoft Game Studios,2004-09-14,XB,Role-Playing,1.99,0.58,0.0,0.09,2.66,False
157,Fable,Microsoft Game Studios,2004-09-14,X360,Role-Playing,0.25,0.19,0.01,0.04,0.48,False
158,Batman: Arkham City,Warner Bros. Interactive Entertainment,2011-10-18,PS3,Action,2.7,1.91,0.11,0.8,5.53,False
159,Batman: Arkham City,Warner Bros. Interactive Entertainment,2011-10-18,X360,Action,2.99,1.31,0.04,0.41,4.76,False
160,Batman: Arkham City,Warner Bros. Interactive Entertainment,2011-10-18,PC,Action,0.16,0.28,0.0,0.09,0.53,False
161,Batman: Arkham City,Warner Bros. Interactive Entertainment,2011-10-18,WiiU,Action,0.17,0.18,0.0,0.03,0.38,False
163,Myst,Broderbund,1993-09-24,PC,Adventure,0.02,2.79,0.0,0.0,2.81,False
164,Myst,Broderbund,1993-09-24,DS,Adventure,0.09,0.0,0.0,0.01,0.1,False
165,Myst,Broderbund,1993-09-24,PS,Adventure,0.0,0.0,0.07,0.0,0.07,False
166,Myst,Broderbund,1993-09-24,SAT,Adventure,0.0,0.0,0.06,0.0,0.06,False
167,Myst,Broderbund,1993-09-24,PSP,Adventure,0.0,0.01,0.0,0.0,0.02,False
171,Lemmings,Psygnosis,1991-02-14,PSP,Puzzle,0.12,0.52,0.0,0.23,0.87,False
176,Resident Evil 4,Capcom,2005-01-11,PS2,Action,2.08,0.83,0.46,0.25,3.62,True
177,Resident Evil 4,Capcom,2005-01-11,Wii,Action,1.34,0.57,0.14,0.21,2.26,False
178,Resident Evil 4,Capcom,2005-01-11,GC,Action,0.98,0.42,0.22,0.06,1.69,False
179,Resident Evil 4,Capcom,2005-01-11,PC,Action,0.0,0.02,0.0,0.01,0.03,False
181,Prince of Persia,Ubisoft,1989-08-03,PS3,Action,0.47,0.41,0.03,0.18,1.08,False
182,Prince of Persia,Ubisoft,1989-08-03,X360,Action,0.54,0.35,0.02,0.1,1.01,False
183,Mario Golf,Nintendo,1991-09-29,N64,Action,0.62,0.18,0.65,0.02,1.47,False
184,Mario Golf,Nintendo,1991-09-29,GB,Action,0.0,0.0,0.31,0.0,0.31,False
187,Rayman Raving Rabbids,Ubisoft,2006-11-19,Wii,Misc,1.23,0.07,0.02,0.11,1.44,False
188,Rayman Raving Rabbids,Ubisoft,2006-11-19,X360,Misc,0.18,0.01,0.0,0.02,0.21,False
189,Rayman Raving Rabbids,Ubisoft,2006-11-19,DS,Misc,0.13,0.01,0.0,0.01,0.15,False
190,Rayman Raving Rabbids,Ubisoft,2006-11-19,PC,Misc,0.0,0.01,0.0,0.0,0.01,False
191,SimCity,Maxis,1989-02-02,SNES,Simulation,0.93,0.27,0.75,0.04,1.98,False
192,SimCity,Maxis,1989-02-02,PC,Simulation,0.0,0.02,0.0,0.01,0.03,False
195,7 Days to Die,The Fun Pimps,2013-12-13,PS4,Action,0.03,0.07,0.0,0.02,0.12,False
196,7 Days to Die,The Fun Pimps,2013-12-13,XOne,Action,0.02,0.02,0.0,0.0,0.04,False
197,Assassin's Creed III,Ubisoft,2012-10-30,PS3,Action,2.64,2.56,0.16,1.14,6.5,False
198,Assassin's Creed III,Ubisoft,2012-10-30,X360,Action,3.13,1.71,0.03,0.44,5.3,False
199,Assassin's Creed III,Ubisoft,2012-10-30,PC,Action,0.28,0.53,0.0,0.13,0.94,False
200,Assassin's Creed III,Ubisoft,2012-10-30,WiiU,Action,0.19,0.13,0.0,0.03,0.36,False
202,Mortal Kombat X,Warner Bros. Interactive Entertainment,2015-04-07,PS4,Fighting,1.47,0.76,0.0,0.47,2.7,False
203,Mortal Kombat X,Warner Bros. Interactive Entertainment,2015-04-07,XOne,Fighting,1.0,0.21,0.0,0.13,1.35,False
204,Mortal Kombat X,Warner Bros. Interactive Entertainment,2015-04-07,PC,Fighting,0.01,0.04,0.0,0.0,0.05,False
208,SingStar,Sony Interactive Entertainment,2004-05-21,PS2,Misc,0.0,1.37,0.0,0.49,1.86,True
209,SingStar,Sony Interactive Entertainment,2004-05-21,PS3,Misc,0.45,0.58,0.0,0.13,1.16,False
210,Sniper Elite,Rebellion Developments,2005-10-18,PS2,Shooter,0.1,0.07,0.0,0.02,0.19,True
211,Sniper Elite,Rebellion Developments,2005-10-18,Wii,Shooter,0.08,0.03,0.0,0.01,0.12,False
212,Sniper Elite,Rebellion Developments,2005-10-18,XB,Shooter,0.07,0.02,0.0,0.0,0.09,False
213,Sniper Elite,Rebellion Developments,2005-10-18,PC,Shooter,0.0,0.01,0.0,0.0,0.02,False
215,Assetto Corsa,Kunos Simulazioni,2014-12-19,PS4,Racing,0.0,0.04,0.0,0.01,0.05,False
216,Assetto Corsa,Kunos Simulazioni,2014-12-19,XOne,Racing,0.0,0.01,0.0,0.0,0.01,False
217,Sniper: Ghost Warrior,City Interactive,2008-10-16,X360,Shooter,0.54,0.51,0.0,0.12,1.16,False
218,Sniper: Ghost Warrior,City Interactive,2008-10-16,PS3,Shooter,0.26,0.36,0.04,0.14,0.8,False
219,Sniper: Ghost Warrior,City Interactive,2008-10-16,PC,Shooter,0.0,0.13,0.0,0.03,0.16,False
220,StarCraft,Blizzard Entertainment,1998-04-01,PC,Strategy,0.0,0.04,0.0,0.01,0.05,False
221,Tomb Raider (2013),Square Enix,2013-03-05,PS3,Action,0.6,1.31,0.08,0.52,2.51,False
222,Tomb Raider (2013),Square Enix,2013-03-05,X360,Action,0.86,0.87,0.01,0.17,1.92,False
223,Tomb Raider (2013),Square Enix,2013-03-05,PS4,Action,0.47,0.64,0.06,0.25,1.41,False
224,Tomb Raider (2013),Square Enix,2013-03-05,XOne,Action,0.34,0.21,0.0,0.05,0.6,False
225,Tomb Raider (2013),Square Enix,2013-03-05,PC,Action,0.06,0.25,0.0,0.05,0.36,False
228,Bomberman,Konami,1987-01-01,NES,Puzzle,0.18,0.0,0.85,0.0,1.03,False
229,Bomberman,Konami,1987-01-01,DS,Puzzle,0.1,0.02,0.03,0.01,0.16,False
230,Bomberman,Konami,1987-01-01,PSP,Puzzle,0.14,0.0,0.0,0.01,0.15,False
231,Bomberman,Konami,1987-01-01,Wii,Puzzle,0.0,0.0,0.01,0.0,0.01,False
232,Cooking Mama,Majesco Entertainment,2006-09-12,DS,Simulation,3.13,1.94,0.07,0.58,5.72,False
233,Diablo III,Blizzard Entertainment,2012-05-15,PC,Role-Playing,2.43,2.15,0.0,0.62,5.2,False
234,Diablo III,Blizzard Entertainment,2012-05-15,PS3,Role-Playing,0.71,0.83,0.15,0.35,2.05,False
235,Diablo III,Blizzard Entertainment,2012-05-15,PS4,Role-Playing,0.49,0.88,0.06,0.3,1.74,False
236,Diablo III,Blizzard Entertainment,2012-05-15,X360,Role-Playing,0.89,0.44,0.0,0.12,1.45,False
237,Diablo III,Blizzard Entertainment,2012-05-15,XOne,Role-Playing,0.35,0.24,0.0,0.05,0.64,False
238,Half-Life 2,VU Games,2004-11-16,PC,Shooter,2.28,0.02,0.08,0.0,2.37,False
239,Half-Life 2,VU Games,2004-11-16,XB,Shooter,0.37,0.21,0.0,0.03,0.61,False
241,FIFA 17,Electronic Arts,2016-09-27,PS4,Sports,0.28,3.75,0.06,0.69,4.77,False
242,FIFA 17,Electronic Arts,2016-09-27,XOne,Sports,0.17,1.26,0.0,0.1,1.53,False
243,FIFA 17,Electronic Arts,2016-09-27,PS3,Sports,0.02,0.29,0.01,0.05,0.38,False
244,FIFA 17,Electronic Arts,2016-09-27,X360,Sports,0.03,0.13,0.0,0.01,0.18,False
245,FIFA 17,Electronic Arts,2016-09-27,PC,Sports,0.0,0.05,0.0,0.0,0.05,False
246,Resident Evil 6,Capcom,2012-10-02,PS3,Shooter,0.88,0.97,0.88,0.42,3.15,False
247,Resident Evil 6,Capcom,2012-10-02,X360,Shooter,1.11,0.63,0.07,0.16,1.98,False
248,Resident Evil 6,Capcom,2012-10-02,PS4,Shooter,0.05,0.0,0.0,0.01,0.07,False
249,Resident Evil 6,Capcom,2012-10-02,PC,Shooter,0.0,0.04,0.0,0.01,0.04,False
250,Resident Evil 6,Capcom,2012-10-02,XOne,Shooter,0.03,0.0,0.0,0.0,0.04,False
251,Need for Speed: ProStreet,Electronic Arts,2007-11-14,PS2,Racing,0.69,0.0,0.04,1.68,2.41,True
252,Need for Speed: ProStreet,Electronic Arts,2007-11-14,X360,Racing,1.04,0.8,0.01,0.22,2.06,False
253,Need for Speed: ProStreet,Electronic Arts,2007-11-14,PS3,Racing,0.73,0.92,0.04,0.37,2.05,False
254,Need for Speed: ProStreet,Electronic Arts,2007-11-14,Wii,Racing,0.54,0.46,0.0,0.12,1.11,False
255,Need for Speed: ProStreet,Electronic Arts,2007-11-14,PSP,Racing,0.24,0.33,0.01,0.2,0.78,False
256,Need for Speed: ProStreet,Electronic Arts,2007-11-14,DS,Racing,0.11,0.01,0.0,0.01,0.13,False
257,Need for Speed: ProStreet,Electronic Arts,2007-11-14,PC,Racing,0.0,0.04,0.0,0.01,0.04,False
259,Tom Clancy's The Division,Ubisoft,2016-03-08,PS4,Shooter,1.28,1.61,0.15,0.57,3.61,False
260,Tom Clancy's The Division,Ubisoft,2016-03-08,XOne,Shooter,1.2,0.62,0.0,0.18,2.01,False
261,Tom Clancy's The Division,Ubisoft,2016-03-08,PC,Shooter,0.2,0.14,0.0,0.03,0.37,False
262,Watch Dogs,Ubisoft,2014-05-27,PS4,Action,1.4,1.86,0.11,0.77,4.14,False
263,Watch Dogs,Ubisoft,2014-05-27,PS3,Action,0.56,0.89,0.1,0.37,1.93,False
264,Watch Dogs,Ubisoft,2014-05-27,XOne,Action,0.9,0.53,0.0,0.13,1.55,False
265,Watch Dogs,Ubisoft,2014-05-27,X360,Action,0.72,0.45,0.01,0.11,1.28,False
266,Watch Dogs,Ubisoft,2014-05-27,PC,Action,0.14,0.26,0.0,0.05,0.45,False
267,Watch Dogs,Ubisoft,2014-05-27,WiiU,Action,0.08,0.05,0.0,0.01,0.14,False
269,Grand Theft Auto V,Rockstar Games,2014-11-18,PS3,Action,7.01,9.27,0.97,4.14,21.4,False
270,Grand Theft Auto V,Rockstar Games,2014-11-18,X360,Action,9.63,5.31,0.06,1.38,16.38,False
271,Grand Theft Auto V,Rockstar Games,2014-11-18,PS4,Action,3.8,5.81,0.36,2.02,11.98,False
272,Grand Theft Auto V,Rockstar Games,2014-11-18,XOne,Action,2.66,2.01,0.0,0.41,5.08,False
273,Grand Theft Auto V,Rockstar Games,2014-11-18,PC,Action,0.36,0.64,0.0,0.08,1.08,False
274,StarCraft,Blizzard Entertainment,1998-03-31,PC,Strategy,0.0,0.04,0.0,0.01,0.05,False
275,Left 4 Dead,Valve,2008-11-17,X360,Shooter,2.66,0.5,0.05,0.3,3.52,False
276,Left 4 Dead,Valve,2008-11-17,PC,Shooter,0.0,0.02,0.0,0.0,0.02,False
283,Call of Duty: Modern Warfare 2,Activision,2009-11-10,X360,Shooter,8.52,3.63,0.08,1.29,13.51,False
284,Call of Duty: Modern Warfare 2,Activision,2009-11-10,PS3,Shooter,4.99,3.69,0.38,1.63,10.69,False
285,Call of Duty: Modern Warfare 2,Activision,2009-11-10,PC,Shooter,0.01,0.79,0.0,0.09,0.89,False
286,Grand Theft Auto IV,Rockstar Games,2008-04-29,X360,Action,6.76,3.1,0.14,1.03,11.02,False
287,Grand Theft Auto IV,Rockstar Games,2008-04-29,PS3,Action,4.76,3.76,0.44,1.62,10.57,False
288,Grand Theft Auto IV,Rockstar Games,2008-04-29,PC,Action,0.01,0.79,0.0,0.08,0.88,False
289,Brain Age: Train Your Brain in Minutes a Day,Nintendo,2006-04-17,DS,Misc,4.75,9.26,4.16,2.05,20.22,False
290,World of Warcraft,Blizzard Entertainment,2004-11-23,PC,Role-Playing,0.07,6.21,0.0,0.0,6.28,False
292,Super Mario All-Stars,Nintendo,1993-08-01,SNES,Platform,5.99,2.15,2.12,0.29,10.55,False
293,Rocket League,Psyonix,2015-07-07,PS4,Sports,0.02,0.14,0.0,0.07,0.23,False
294,Rocket League,Psyonix,2015-07-07,XOne,Sports,0.03,0.09,0.0,0.01,0.12,False
295,Rocket League,Psyonix,2015-07-07,PC,Sports,0.01,0.01,0.0,0.0,0.02,False
300,Call of Duty: Ghosts,Activision,2013-11-05,X360,Shooter,6.72,2.63,0.04,0.82,10.21,False
301,Call of Duty: Ghosts,Activision,2013-11-05,PS3,Shooter,4.09,3.73,0.38,1.38,9.59,False
302,Call of Duty: Ghosts,Activision,2013-11-05,PS4,Shooter,1.78,1.42,0.05,0.38,3.63,False
303,Call of Duty: Ghosts,Activision,2013-11-05,XOne,Shooter,1.87,0.77,0.0,0.22,2.86,False
304,Call of Duty: Ghosts,Activision,2013-11-05,PC,Shooter,0.23,0.41,0.0,0.09,0.73,False
305,Call of Duty: Ghosts,Activision,2013-11-05,WiiU,Shooter,0.23,0.09,0.01,0.03,0.36,False
306,Driver,GT Interactive,1999-06-30,PS,Action,3.11,2.8,0.02,0.33,6.27,False
308,Super Mario 64,Nintendo,1996-09-29,N64,Platform,6.91,2.85,1.91,0.23,11.89,False
309,Super Mario 64,Nintendo,1996-09-29,DS,Platform,5.08,3.11,1.25,0.98,10.42,False
313,Animal Crossing: Wild World,Nintendo,2005-12-05,DS,Simulation,2.55,3.52,5.33,0.88,12.27,False
321,Star Fox,Nintendo,1993-03-26,SNES,Shooter,1.61,0.51,0.8,0.07,2.99,False
322,Mario Kart 7,Nintendo,2011-12-04,3DS,Racing,4.74,3.91,2.67,0.89,12.21,False
325,Super Mario Land,Nintendo,1989-08-01,GB,Platform,10.83,2.71,4.18,0.42,18.14,False
336,Max Payne,Rockstar Games,2001-07-23,PS2,Shooter,1.99,1.05,0.05,0.22,3.31,True
337,Max Payne,Rockstar Games,2001-07-23,XB,Shooter,0.98,0.19,0.0,0.05,1.22,False
338,Max Payne,Rockstar Games,2001-07-23,GBA,Shooter,0.02,0.01,0.0,0.0,0.03,False
339,Max Payne,Rockstar Games,2001-07-23,PC,Shooter,0.0,0.02,0.0,0.0,0.02,False
